loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,IP_en0,IP_pdp_ip0,deviceOrientation,state
2015-03-03 19:57:56.983,1,1425441462.823041,37.77936791819947,-122.4388776159812,57.21025,-1,-1,10,65,-9999,1425441476.921774,28.56575012207031,-2.534423828125,-31.67661285400391,12.12900733947754,358.3520812988281,10,228842.95661625,0.66461181640625,-0.546905517578125,-0.56494140625,228842.9107792917,-0.1414207781020418,0.43332640307621,0.03212651117795287,228842.9107792917,-1.797478011551164,0.8785124904618274,0.6044249415822694,-0.1459812521934509,0.441113293170929,0.06880553811788559,0.03531065583229065,0.01556987967342138,-0.01743907481431961,XTrueNorthZVertical,-0.4854213201115195,-0.041970490065357,0.5973521903057574,-0.6370046990137944,0.6334058046340942,-0.5682889819145203,-0.5252092480659485,29.38438987731934,-1.383075714111328,-31.9438591003418,1,192.168.1.8,10.83.46.32,1,0
2015-03-03 19:57:57.002,2,1425441462.823041,37.77936791819947,-122.4388776159812,57.21025,-1,-1,10,65,-9999,1425441476.97402,28.73617553710938,-2.908294677734375,-31.61003112792969,12.74707984924316,358.9701538085938,10,228843.005643375,0.604888916015625,-0.5637359619140625,-0.4927825927734375,228842.962562375,-0.03957430748246847,-0.1611753081199225,-0.05579775221101318,228842.962562375,-1.793259998451037,0.8814252093169224,0.6015637865543173,-0.04413473606109619,-0.1533884704113007,-0.01911905221641064,0.0284268744289875,0.01902691274881363,-0.04054727032780647,XTrueNorthZVertical,-0.4855695141281935,-0.0450019934682023,0.5959638985734849,-0.6379844081277916,0.6361849308013916,-0.5659324526786804,-0.524394154548645,30.16138076782227,-1.247051239013672,-31.21700286865234,1,192.168.1.8,10.83.46.32,1,0
2015-03-03 19:57:57.057,3,1425441462.823041,37.77936791819947,-122.4388776159812,57.21025,-1,-1,10,65,-9999,1425441477.025333,28.54870796203613,-2.211578369140625,-31.65998077392578,12.22193336486816,358.4450073242188,10,228843.0546483333,0.626312255859375,-0.540069580078125,-0.507354736328125,228843.0143466667,-0.009353820696685309,-0.0794934943261022,-0.02611043027546387,228843.0143466667,-1.793345143677226,0.8719842690560191,0.5997524699986232,-0.01391420606523752,-0.07170673459768295,0.01056790258735418,-0.02710074745118618,0.0007021988858468831,0.03825284168124199,XTrueNorthZVertical,-0.4823515676415017,-0.04265264439160002,0.5986943271369349,-0.6380304269062096,0.6319896578788757,-0.5644381642341614,-0.5310354232788086,29.98605155944824,-1.116739273071289,-31.3903636932373,1,192.168.1.8,10.83.46.32,1,0
2015-03-03 19:57:57.100,4,1425441462.823041,37.77936791819947,-122.4388776159812,57.21025,-1,-1,10,65,-9999,1425441477.079658,28.6339225769043,-2.262542724609375,-32.00952911376953,12.72397804260254,358.9470520019531,10,228843.1036912917,0.6490631103515625,-0.5325927734375,-0.542999267578125,228843.1179132083,0.004723382509364537,0.02928145618542122,-0.015426626930393,228843.0661297917,-1.790079825984743,0.8761739615397177,0.5986122810487933,-0.05977272614836693,0.1975440979003906,0.02097752876579762,0.001222270191647112,0.02374745160341263,0.008286726661026478,XTrueNorthZVertical,-0.4832793760981049,-0.045208131102635,0.5969036357808962,-0.6388296525646391,0.6347030401229858,-0.5634965896606445,-0.528794527053833,29.82796478271484,-1.069265365600586,-31.54226684570312,1,192.168.1.8,10.83.46.32,1,0
2015-03-03 19:57:57.157,5,1425441462.823041,37.77936791819947,-122.4388776159812,57.21025,-1,-1,10,65,-9999,1425441477.079658,28.6339225769043,-2.262542724609375,-32.00952911376953,12.72397804260254,358.9470520019531,10,228843.152722375,0.6254425048828125,-0.54193115234375,-0.5186614990234375,228843.1179132083,0.004723382509364537,0.02928145618542122,-0.015426626930393,228843.1179132083,-1.787819262164769,0.8809439566893162,0.5986746070708842,0.0001630927581572905,0.03706804662942886,0.02125093527138233,0.01031566504389048,0.02692699059844017,-0.009066645987331867,XTrueNorthZVertical,-0.4846623017047386,-0.04725597700253918,0.5950125731432068,-0.6393976615762503,0.6371910572052002,-0.5635480880737305,-0.5257386565208435,30.13936424255371,-1.002374649047852,-31.24707221984863,1,192.168.1.8,10.83.46.32,1,0
2015-03-03 19:57:57.198,6,1425441462.823041,37.77936791819947,-122.4388776159812,57.21025,-1,-1,10,65,-9999,1425441477.155315,29.09406661987305,-2.653411865234375,-32.22592163085938,13.15491676330566,359.3779907226562,10,228843.2017202083,0.619476318359375,-0.5465850830078125,-0.515655517578125,228843.1696973334,0.02200490113899772,0.01360156263536169,-0.02974031884124188,228843.1696973334,-1.787851078380701,0.8808785910259013,0.5993938047219242,0.01744399033486843,0.02138769626617432,0.006936398334801197,-0.01822208240628242,0.02352315932512283,0.0108432462438941,XTrueNorthZVertical,-0.4848030141175113,-0.04695675749271192,0.594872015371736,-0.6394438142947293,0.6368439197540283,-0.5641420483589172,-0.5255221724510193,30.19747734069824,-1.027002334594727,-31.19010925292969,1,192.168.1.8,10.83.46.32,1,0
2015-03-03 19:57:57.260,7,1425441462.823041,37.77936791819947,-122.4388776159812,57.21025,-1,-1,10,65,-9999,1425441477.208107,29.12814903259277,-2.347503662109375,-32.02616882324219,12.70020484924316,358.9232788085938,10,228843.2507275833,0.62176513671875,-0.5451812744140625,-0.525054931640625,228843.2214805,0.03011875403214214,0.09545435137116509,0.001205613025478871,228843.2214805,-1.787255541509754,0.883809925066003,0.6006088935287853,0.02555531077086926,0.1032378152012825,0.0378810279071331,-0.01916833035647869,0.02286280505359173,0.0005434564664028585,XTrueNorthZVertical,-0.4859289959825376,-0.04758153389291134,0.5936883891684136,-0.6396429558326207,0.6378511786460876,-0.5651448965072632,-0.523218035697937,30.21599197387695,-1.064252853393555,-31.17092895507812,1,192.168.1.8,10.83.46.32,1,0
2015-03-03 19:57:57.296,8,1425441462.823041,37.77936791819947,-122.4388776159812,57.21025,-1,-1,10,65,-9999,1425441477.258244,29.23040390014648,-2.3134765625,-31.65998077392578,12.17261695861816,358.3956909179688,10,228843.2998975,0.61151123046875,-0.545928955078125,-0.5354156494140625,228843.2732637917,0.0474633895796102,0.07314292039069925,0.0237551306073978,228843.2732637917,-1.785905160133926,0.886692207094481,0.6022489774182228,0.04289337992668152,0.08091971278190613,0.06042790412902832,-0.01520907506346703,0.0200952272862196,-0.008978990837931633,XTrueNorthZVertical,-0.4871137558717057,-0.04821551260166985,0.5921739026189532,-0.6400980613359443,0.6386374235153198,-0.5664972066879272,-0.5207909345626831,30.36155128479004,-1.131481170654297,-31.02678489685059,1,192.168.1.8,10.83.46.32,1,0
2015-03-03 19:57:57.361,9,1425441462.823041,37.77936791819947,-122.4388776159812,57.21025,-1,-1,10,65,-9999,1425441477.311467,29.65646362304688,-2.84027099609375,-31.61006164550781,11.77112770080566,357.9942016601562,10,228843.3487831667,0.5789642333984375,-0.5532073974609375,-0.5233154296875,228843.3250480417,0.06629380269923346,0.01160845287554639,0.0742031248206598,228843.3250480417,-1.782817631431151,0.8845119196265144,0.606100240378409,0.0617150105535984,0.01937185414135456,0.1108766421675682,-0.04231730476021767,0.02456170134246349,-0.01535235065966845,XTrueNorthZVertical,-0.4872472115077568,-0.04682194330643052,0.5908184482532839,-0.6413512513361023,0.6358079314231873,-0.5696666836738586,-0.5207957029342651,30.42296981811523,-1.212417602539062,-30.96349716186523,1,192.168.1.8,10.83.46.32,1,0
2015-03-03 19:57:57.393,10,1425441462.823041,37.77936791819947,-122.4388776159812,57.21025,-1,-1,10,65,-9999,1425441477.362409,29.75871658325195,-3.146148681640625,-31.6766357421875,11.82279396057129,358.0458679199219,10,228843.3978336667,0.61810302734375,-0.5474700927734375,-0.5450592041015625,228843.3768312917,0.02792324402948081,0.2697683647289935,0.1705046277345791,228843.3768312917,-1.77535428153635,0.8854143652532116,0.6136126373062668,0.02333950251340866,0.2775142788887024,0.207186758518219,-0.04555948823690414,0.02225119806826115,-0.01613212749361992,XTrueNorthZVertical,-0.489003427640217,-0.04611427028266981,0.5864420177592999,-0.644076771450962,0.6329465508460999,-0.5758247971534729,-0.517498254776001,30.36562919616699,-1.397945404052734,-31.01192665100098,1,192.168.1.8,10.83.46.32,1,0
